Event Title ,Date of Event,"# ""Going""","# ""Interested""",Page Views,People Reached,% Men 18-24,% Women 18-24,% Men 25-34,% Women 25-34,% Men 35-44,% Women 35-44,% Men 45-54,% Women 45-54,% Men 55-64,% Women 55-64,% Men 65+,% Women 65+,Event Type,Co-Hosts,Spent,Taproom Sales
Floats on Floats Party ,8/11/2018,10,63,372,2100,3%,6%,20%,26%,12%,13%,5%,7%,2%,3%,1%,2%,Minor,2,,1454
Powerful Pints,8/14/2018,14,46,175,2500,2%,3%,16%,20%,11%,15%,8%,11%,4%,6%,4%,6%,Minor,1,,746
Buddy DeVore @ LG,8/17/2018,2,15,89,671,2%,3%,17%,21%,13%,14%,8%,7%,5%,3%,3%,3%,Minor,1,,1421
Live Music Fridays,8/24/2018,0,9,63,645,3%,4%,16%,25%,14%,16%,7%,8%,3%,3%,2%,2%,Minor,1,,1311.5
Pure Water Brew Kickoff ,8/30/2018,46,166,1100,10300,2%,4%,11%,19%,11%,19%,7%,11%,3%,7%,2%,5%,Major,6,,736
Live Music Fridays,8/31/2018,4,28,120,1400,4%,4%,13%,19%,12%,16%,9%,10%,5%,4%,2%,3%,Minor,1,,1557.5
Live Music from Harrison Gray,9/5/2018,8,9,71,1000,4%,4%,17%,20%,15%,15%,8%,9%,3%,4%,2%,2%,Minor,1,,483.5
Live Music Fridays ,9/7/2018,4,23,88,1200,3%,3%,13%,18%,10%,10%,9%,9%,6%,8%,7%,4%,Minor,1,,621.5
Powerful Pints,9/11/2018,14,49,122,2200,2%,5%,14%,24%,10%,16%,5%,8%,3%,6%,2%,5%,Minor,1,,693
Live Music Fridays,9/14/2018,6,18,88,926,4%,2%,18%,16%,16%,13%,11%,7%,5%,4%,3%,2%,Minor,1,,1069
Doubles Cribbage Tournament ,9/16/2018,13,89,193,3500,3%,4%,22%,26%,11%,12%,7%,5%,2%,4%,1%,2%,Minor,1,,671
IWA's 2nd Annual Summer Roundup,9/19/2018,30,122,1200,6500,2%,3%,15%,17%,16%,16%,9%,8%,5%,5%,2%,25%,Minor,16,,1136.5
Hello Fall Concert,9/22/2018,,678,1500,14700,5%,11%,16%,25%,9%,14%,5%,8%,2%,4%,1%,2%,Major,5,20,2299
Live Music Fridays,9/28/2018,3,5,34,543,2%,3%,18%,24%,15%,16%,10%,6%,2%,2%,1%,2%,Minor,1,,929
Mark Asher Booking Signing,9/29/2018,0,17,65,1200,1.74%,5.03%,10.40%,26%,8.16%,18.20%,5.30%,10.90%,1.65%,7.38%,1.13%,4.08%,Minor,,,654
Anniversary Week: Board Games & Brunch,9/30/2018,26,174,464,5500,2.73%,6.13%,18.30%,26%,13.80%,15.40%,4.99%,5.38%,1.87%,2.93%,0.88%,1.63%,Minor,2,10,1126
Anniversary Week Bingo,10/1/2018,5,36,56,1400,3%,8%,17%,35%,7%,15%,3%,7%,1%,2%,1%,1%,Minor,1,10,203
Game Meet: Consevation Triva,10/2/2018,12,79,357,3000,2%,5%,18%,20%,15%,13%,7%,6%,4%,4%,3%,2%,Minor,1,,661.5
Anniversary Week: IRMFB IPA ,10/3/2018,10,78,173,3700,4%,8%,19%,28%,12%,14%,5%,5%,1%,2%,1%,1%,Minor,,30,779
Anniversary Dinner w/ Sushi Shack,10/4/2018,15,113,393,4600,2%,5%,19%,31%,11%,14%,45,7%,2%,3%,1%,2%,Minor,1,20,1407
1 Year Anniversay Party & a year of beer,10/5/2018,75,417,1600,14800,3%,7%,14%,23%,10%,17%,5%,9%,3%,5%,1%,3%,Major,13,20,2851.5
Anniversary Week!,10/6/2018,,28,90,1300,2%,4%,17%,22%,13%,17%,8%,9%,2%,3%,1%,2%,Minor,,,933
Powerful Pints: Birds of Prey NCA Partnership,10/9/2018,13,69,234,1800,5%,6%,19%,19%,13%,15%,6%,7%,3%,3%,2%,2%,Minor,1,,
Preschool the Idaho Way Launch Party,10/10/2018,36,93,418,4500,2%,5%,10%,27%,8%,22%,4%,9%,2%,6%,2%,4%,Minor,1,,983.5
Lost Grove Pure Water Brew Release!,10/17/2018,8,24,125,1200,2%,3%,15%,26%,12%,16%,8%,8%,3%,3%,2%,2%,Minor,1,,444
Ralley for Victory! For Diana @ Lost Grove,10/25/2018,55,122,484,4100,2%,3%,7%,16%,9%,21%,6%,11%,4%,10%,3%,8%,Minor,1,,1440
Ghost and Reapers Festival,10/27/2018,4,24,80,1100,3%,3%,22%,23%,13%,12%,9%,7%,2%,3%,1%,2%,Minor,1,,1607.25
Halloween Party @ Lost Grove ,10/27/2018,12,62,219,2200,4%,7%,22%,30%,11%,12%,5%,4%,2%,2%,1%,1%,Minor,1,,1607.25
Ghost Town Porter Release w/ Elien Jewl,10/30/2018,15,44,181,2300,2%,3%,12%,16%,12%,17%,9%,9%,7%,6%,4%,4%,Minor,1,,519.5
Lusk District Fall Block Party,11/2/2018,61,256,923,8500,2%,4%,15%,19%,14%,17%,8%,9%,3%,4%,2%,3%,Major,10,,1751.5
Veterans Day @ Lost Grove,11/11/2018,0,16,39,921,1%,2%,14%,22%,16%,16%,9%,8%,4%,4%,2%,2%,Minor,0,,675.5
Powerful Pints: CATCH,11/13/2018,20,89,281,3400,1%,4%,13%,24%,11%,19%,6%,10%,2%,5%,2%,3%,Minor,2,,583
Board Games and Brunch,11/18/2018,29,196,583,6500,3%,7%,16%,28%,12%,16%,5%,7%,2%,2%,1%,1%,Minor,2,,971.5
Thanksgiving Day Grolwer and Crowler Spec. ,11/22/2018,2,14,53,683,1%,2%,16%,26%,14%,14%,7%,6%,4%,5%,2%,3%,Minor,0,,76
Black Friday Hop & Shop,11/23/2018,21,104,457,4700,2%,4%,13%,28%,11%,19%,5%,9%,2%,5%,1%,2%,Minor,11,,1429
Lusk District Tailgates ,11/24/2018,,27,89,1500,4%,7%,15%,24%,12%,12%,6%,7%,3%,6%,2%,3%,Minor,0,,767
Boise State Football,11/24/2018,1,2,104,425,1%,4%,17%,27%,16%,17%,6%,6%,2%,1%,2%,1%,Minor,1,,
Fall Double Cribbage League ,11/25/2018,,23,113,807,2%,4%,15%,22%,14%,15%,9%,9%,2%,4%,2%,2%,Minor,0,,536.5
Powerful Pints: Christmas Wish,12/11/2018,10,30,679,1600,2%,5%,13%,22%,12%,20%,6%,9%,2%,5%,2%,2%,Minor,1,,451
2nd Annual Falalalalala Lost Grove,12/22/2018,33,330,674,7600,1%,5%,9%,23%,8%,19%,5%,13%,3%,9%,1%,5%,Major,7,,1557
Resiliance IPA Release @ Lost Grove ,12/22/2018,9,76,76,2600,1%,3%,13%,21%,14%,16%,9%,10%,4%,6%,1%,2%,Minor,0,,1557
Board Games and Brunch,12/23/2018,29,257,656,6700,3%,5%,15%,24%,14%,18%,6%,7%,2%,3%,1%,2%,Minor,3,,763
Last Call Trivia @ Lost Grove,12/27/2018,,82,333,2900,7%,9%,18%,23%,10%,12%,6%,6%,2%,4%,1%,2%,Minor,1,,1351.5
Live Music w/ Spencer Bratt!,12/28/2018,2,77,139,2500,2%,3%,19%,24%,12%,15%,7%,8%,3%,4%,2%,2%,Minor,1,,799
A Night of Mississippi Blues,1/4/2019,4,58,155,1400,2%,6%,18%,22%,10%,12%,10%,8%,4%,4%,2%,2%,Minor,1,,1018
Powerful Pints: Tidwell Social Services ,1/8/2019,6,31,141,1400,2%,4%,12%,23%,10%,22%,4%,11%,2%,5%,1%,3%,Minor,1,,446
Sunday Night Tourneys: Farkle,1/13/2019,2,29,48,2000,4%,10%,15%,29%,13%,21%,2%,3%,1%,1%,0%,0%,Minor,0,,632.5
Sunday Night Tourneys: Singles Cribbage,1/20/2019,3,19,70,861,3%,5%,20%,27%,15%,13%,4%,5%,3%,2%,1%,1%,Minor,0,,474.5
New Mood and Delta Mud,1/25/2019,25,146,446,3800,3%,7%,12%,16%,10%,17%,9%,15%,3%,6%,1%,1%,Minor,2,,2043.51
Roller Disco Adult Skate Night,1/26/2019,123,982,2300,23000,3%,11%,12%,26%,7%,18%,4%,9%,2%,4%,1%,2%,Major,1,,1428.67
Board Games and Brunch,1/27/2019,21,246,568,5700,4%,6%,20%,24%,14%,14%,6%,5%,2%,3%,1%,1%,Minor,2,,1197
Sunday Night Tourneys: Fuse,1/27/2019,5,19,225,1600,5%,3%,26%,16%,24%,11%,7%,3%,2%,1%,1%,1%,Minor,2,,
Johnny Boy Kunk Live,2/1/2019,8,92,170,2100,3%,5%,15%,19%,11%,13%,8%,10%,5%,5%,3%,3%,Minor,1,,1245
Comedy Night: Sean Peabody,2/8/2019,15,60,105,2300,1%,1%,14%,24%,12%,21%,6%,12%,3%,4%,1%,1%,Minor,0,,1650.32
Succs + Sips @ Lost Grove,2/9/2019,14,218,495,6100,2%,14%,9%,35%,5%,19%,2%,8%,1%,3%,0%,2%,Minor,1,,845
Sunday Night Tourneys: Euchre,2/10/2019,1,17,37,543,2%,4%,16%,20%,17%,16%,9%,7%,3%,4%,1%,1%,Minor,0,,553.5
Powerful Pints: Winter Wildlands Alliance,2/12/2019,13,61,215,2000,4%,6%,18%,24%,12%,13%,6%,7%,3%,3%,2%,1%,Minor,4,,551.25
Live Music with Spencer Bratt,2/15/2019,2,78,153,2200,1%,3%,18%,23%,13%,15%,8%,9%,3%,4%,2%,2%,Minor,2,,1351.5
2019 Boise Winter Beer-lympics,2/16/2019,39,174,609,3000,5%,14%,21%,34%,8%,7%,5%,2%,1%,1%,1%,1%,Minor,5,,1172.3
